ID,CAT DEPTO,CAT MUN,REGION,DEPARTAME_COD,DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,MUNICIPIO_COD,LIN BASE 2014,META,AVA,PER INSC REG,PER INSC,PER BEN EMP,PER BEN BOOTSCAMPS,PER CAP EMP,PER GRAD,EQU ACOMP,EQU ETP TEMP,EQU ETP MAD,CAMB JUEG,AYUDAPPS,TOT STAR UPS,INV MINTIC EJEC,INV MINITC PROY,POR INV MINITC,INV CONTR EJEC,CONTR PROY,INV MINTIC PROY CONT,COSTO,ID_INDICADOR,FECHA CARGUE,FECHA VIGENCIA,META1
15632,,,Regi�n Centro Orient,15,BOYACA,SABOYA,15632,0,30000,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,SILOS,54743,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
50270,,,Regi�n Llano,50,META,EL DORADO,50270,0,22000,0,0,0,3,3,0,0,0,0,0,0,0,0,"29466,00","29466,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Centro Sur,73,TOLIMA,VILLAHERMOSA,73870,2,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
15248,,,Regi�n Centro Orient,15,BOYACA,EL ESPINO,15248,0,52000,0,0,0,1,1,0,0,0,0,0,0,0,0,"12564,00","12564,00",,",00",,",00",,7691,2020-12-31,2020-12-31,
13580,,,Regi�n Caribe,13,BOLIVAR,REGIDOR,13580,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
25745,,,Regi�n Centro Orient,25,CUNDINAMARCA,SIMIJACA,25745,0,30000,0,0,0,5,5,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
25841,,,Regi�n Centro Orient,25,CUNDINAMARCA,UBAQUE,25841,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Pac�fico,19,CAUCA,TIMBIQUI,19809,2,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
,,,Regi�n Eje Cafetero,05,ANTIOQUIA,SAN JUAN DE URABA,05659,0,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
50124,,,Regi�n Llano,50,META,CABUYARO,50124,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Pac�fico,76,VALLE DEL CAUCA,BOLIVAR,76100,2,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
52207,,,Regi�n Pac�fico,52,NARI�O,CONSACA,52207,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,7691,2020-12-31,2020-12-31,
,,,Regi�n Centro Sur,41,HUILA,AIPE,41016,1,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
,,,Regi�n Eje Cafetero,05,ANTIOQUIA,CAREPA,05147,1,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
,,,Regi�n Pac�fico,19,CAUCA,SOTARA,19760,1,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
19256,,,Regi�n Pac�fico,19,CAUCA,EL TAMBO,19256,0,22000,0,0,0,4,4,0,0,0,0,0,0,0,0,"184522,00","184522,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
52079,,,Regi�n Pac�fico,52,NARI�O,BARBACOAS,52079,0,30000,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,6802,2019-12-31,2019-12-31,
,,,Regi�n Llano,50,META,CABUYARO,50124,0,Por demanda,0,0,0,3,3,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
